Name					eta(a) 	eta(b)	eta(c)				eta(a)	eta(c)					GM2-	GM5+	M2-	DV	DV/V(%)	DE_sw	DeltaE	P
TiPdGe					0.025024533856722	-0.083433807571739	0.03705863399892				-0.031979458450047	0.112445414847161					0.557	0.487	1.110	-1.177	-2.653	0.036	0.261	metal
TiPtSi					0.028115751397567	-0.083292623351246	0.026651187029916				-0.033293978748524	0.124214417744917					0.563	0.470	1.122	-1.429	-3.346	0.129	0.276	metal
ZrPtSi					0.001837390904915	-0.07708830548926	0.032754240471658				0.026960784313726	-0.062176909821942					0.695	0.439	1.289	-2.241	-4.727	0.240	0.386	metal
ZrPtGe					0.003956177723676	-0.075515947467167	0.032433349571036				-0.024479524136353	0.090788381742739					0.670	0.468	1.178	-2.164	-4.364	0.291	0.171	metal
HfPdSi					0.009982841990329	-0.080664579821816	0.037089575765617				-0.006696962449175	0.029548739360848					0.643	0.474	1.218	-1.772	-3.842	0.300	0.401	metal
HfPtSi					0.004809183990071	-0.079136690647482	0.031200193027418				0.002162941600577	0.013044161559013					0.687	0.449	1.225	-2.223	-4.800	0.321	0.310	metal
HfPtGe					0.000153280196199	-0.075053103611046	0.033153113286699				-0.027095292766935	0.101097046413502					0.700	0.458	1.163	-2.238	-4.616	0.342	0.091	metal
NaAgSe					0.017563901185206	-0.052357207615594	0.036142210209306				0.001816530426885	-0.041079008626592					0.708	0.577	1.536	-0.046	-0.079	0.059	0.108	metal
SrLiAs					-0.058756777203379	0.00634632819583	0.029468397034176				0	0.000378405650858					0.000	0.171	1.216	-1.644	-2.522	0.001	0.027	0
KSrP					0.256390514320912	-0.053500284575982	-0.04552641894927				0.000569476082005	-0.001230390649031					0.000	0.170	1.361	10.556	11.903	-0.001	0.058	0
KSrSb					0	0.000175685172171	1.69191743711693E-05				0	0.000143802128272					0	0.00066	0	0	0	0.000613	-9.42500000000734E-05	0
KSrBi					0.000141183114499	0	-2.33560213503311E-05				0	-0.000141163184641					0.000	0.001	0.000	-0.001	-0.001	0.001	0.000	0
RbSrAs					0.296598841526808	-0.060711030082042	-0.068660860202405				0.00018234865062	0.000148544266191					0.000	0.247	1.522	11.782	11.843	0.001	0.153	0
RbSrBi					0.282966267075551	-0.067560685791886	-0.051698997678014				0.000169779286927	0.000278862242053					0.000	0.297	1.544	14.501	11.857	0.001	0.038	0
RbBaAs					0.214244851258581	-0.045470629865535	-0.032539915163669				0	0					0.000	0.144	1.335	11.711	10.799	0.000	-0.013	0
SrAuP					0.002532866964178	-0.001170960187354	-0.001062344549659				-0.000234137204402	-0.000120598166908					0.000	0.005	0.000	0.003	0.004	0.000	0.002	metal
LaLiSi					-0.014717581543357	0.005589090096132	-0.020195418417516				0.001791713325868	-0.006716712761754					0.357	0.102	1.024	-1.916	-3.020	0.013	0.052	metal
NaInGe					0.028571428571429	-0.007901668129939	0.019106862340424				-0.075299370813883	0.208092485549133					0.697	0.197	1.239	2.621	3.834	0.253	-0.048	metal
RbInSn					0.114884484282287	-0.008174386920981	-0.08262211022497				-0.03584162131732	0.103664483767591					0.735	0.202	1.613	1.320	1.437	0.262	0.274	metal
BaSrSn					0.112772264467071	-0.058916637354907	0.00970296813606				0	0.000128899200825					0.000	0.338	1.481	6.227	5.421	0.001	0.150	metal
LiBeP					0.045138299677584	-0.01990185387132	0.009890765300065				0.0234375	-0.171516940812597					0.785	0.256	1.292	1.184	3.333	0.077	0.051	-0.791
MgLiP					0.010268562401264	-0.05581741503349	0.060170352900424				-0.003707365299061	0.017357762777242					0.502	0.440	1.288	0.496	1.101	0.036	0.239	-0.448
LiZnP					0.015705983979896	-0.019577930333079	0.026987664187801				0.00203821656051	-0.076577229876722					0.846	0.286	1.288	0.955	2.189	0.271	-0.058	-0.803
LiBeAs					0.042299526375959	-0.018669471469892	0.011994976181448				0.021488047273704	-0.160888036179252					0.837	0.258	1.322	1.340	3.375	0.124	-0.001	-0.728
MgLiAs					0.014778325123153	-0.05670350792888	0.057874375982722				-0.005258126195029	0.021062558943729					0.519	0.463	1.327	0.603	1.221	0.037	0.212	metal
LiZnAs					0.012448762714438	-0.022096734593666	0.029818243472288				-0.000736015701668	-0.063548478817174					0.830	0.327	1.351	0.935	1.937	0.312	-0.075	-0.728
LiBeSb					0.041108266827285	-0.007326007326007	0.009058822122137				0.008869179600887	-0.130759162303665					1.127	0.153	1.302	2.067	4.110	0.290	-0.173	-0.58
MgLiSb					0.036068925233645	-0.057193923145666	0.047769489863121				-0.012792236435818	0.038047597392754					0.575	0.507	1.411	1.387	2.281	0.048	0.130	metal
LiZnSb					0.01563166121927	-0.018659295093297	0.025824147951989				-0.007090576395242	-0.054039521441054					0.994	0.332	1.426	1.284	2.188	0.383	-0.173	metal
LiBeBi					0.03246942341293	-0.009952606635071	0.010362971081845				0.009569377990431	-0.119600051275477					1.205	0.137	1.357	1.745	3.191	0.320	-0.181	-0.53
MgLiBi					0.047297297297297	-0.063963573287077	0.044162748332756				-0.018514577569696	0.050755287009064					0.551	0.536	1.440	1.496	2.281	0.028	0.102	metal
LiZnBi					-0.008265601322496	-0.040178571428572	0.02995164092935				-0.058031959629941	0.166666666666667					0.924	0.140	1.331	-1.237	-2.001	0.298	-0.128	metal
NaMgP					0.05079271873165	-0.036985986675856	0.005886616479238				-0.003662165255207	0.014143218698824					0.674	0.321	1.373	1.007	1.770	0.115	0.265	-0.713
NaMgAs					0.047142857142857	-0.038452939861391	0.009233569146811				-0.008643617021277	0.037037037037037					0.685	0.348	1.391	0.993	1.611	0.126	0.229	-0.687
NaMgSb					0.042730448804085	-0.038808474931823	0.015903934961733				-0.020143884892086	0.081843291176043					0.702	0.414	1.435	1.328	1.782	0.150	0.137	-0.455
NaZnSb					0.051260851591567	-0.005114520791639	-0.005653138787269				0.021117166212534	-0.155966503838102					1.004	0.143	1.421	2.533	3.833	0.111	-0.008	metal
NaMgBi					0.038896189224704	-0.041803278688525	0.018644634779237				-0.028855721393035	0.110138584974471					0.703	0.472	1.463	1.092	1.373	0.129	0.118	metal
NaZnBi					0.044587698092936	0.002591792656588	-0.006284169509259				0.016688625384278	-0.138991674375578					1.048	0.130	1.410	2.821	3.922	0.206	-0.039	metal
KMgSb					0.086204671570525	-0.025785656728445	-0.036508938362841				0.041762854144806	-0.191633632380555					0.903	0.322	1.840	1.620	1.921	0.003	0.277	-0.364
KMgBi					0.080561527760213	-0.026803310997241	-0.0298603872466				0.040393684642198	-0.178749480681346					0.916	0.332	1.828	1.779	1.978	0.055	0.230	metal
